tag	consumer_complaint_narrative
request	Podrían mejorar el sector para fumadores en la entrada al hotel e incluir Netflix en las televisiones Smart de las habitaciones (o un Apple TV)
complaint	No es lo mejor para parejas mayores.
complaint	Un poco de filtracion de agua en el baño
complaint	Las habitaciones muy pequeñas, rozando lo incómodo.
complaint	- No dispone de ningun modulo residente
complaint	El colchon del sofa cama es muy delgado
comment	Como dije antes, esto si funciona, esto te va a volar la cabeza, es mucho mejor que ares en todo aspecto, es atractivo, rapido, estable.
complaint	En el desayuno hay que pedirle a una mujer lo que queres cuando se supone que es continental, solo nos dieron 4 laminas de queso para dos personas, lo encontré demasiado básico.
comment	El Hotel está muy bien, un tamaño perfecto y las instalaciones en estado óptimo.
comment	El desayuno muy completo.
request	Para que coño tenian que poner una maldita burbuja con "mi dia" a mi que me importa lo que hagan los demás? Exijo que haya una opcion para desactivar eso, me quita espacio para hablar con una persona mas.
comment	El desayuno es a la carta y es excelente.
comment	Muy céntrico, a 3 minutos del Rey Leon.
comment	La ubicación inmejorable en plena zona rosa de Bogotá.
complaint	el ajetreo...
complaint	El olor a humedad en la habitación
comment	Una maravilla.
comment	Buen servicio en recepción y habitación.
comment	La senora gerente siempre estaba muy pendiente de la atencion a los clientes.
complaint	Habitación un poco pequeña
comment	Nos pareció un hotel muy, muy recomendable en todos los aspectos.
comment	Todo es excelente, pero lo fundamental es la atención a cada detalle...
comment	Ubicación.
comment	Buena localizacion.
comment	Camas cómodas.
comment	Muy buena la terraza con piscina, gimnasio y spa.
complaint	Una experiencia nefasta, en la cafetería de al lado, donde la atención deja mucho que desear.
complaint	un desastre
complaint	Pregunté por mantequilla sin sal y la respuesta simplemente fue "no" no hicieron el esfuerzo de preguntar en la cocina.
complaint	Las tarifas de los taxis fuera del hotel el doble que los normales.
comment	La ubicacion es muy buena, ideal para pasear de noche y caminar con seguridad por la ciudad.
complaint	La pluma del lavamano poca presión
complaint	El servicio fatal, las habitaciones sin aire acondicionado, no hay respeto por los huéspedes, el bar apache pésimo trato...
comment	desayuno muy rico.
comment	a pesar de que su interfaz gráfica no es muy amigable, su funcionalidad es sorprendente, realmente vale la pena descargarlo, no se perderá el tiempo lo recomiendo asegurando una gran funcionalidad por sus diversas herramientas
comment	Todo bien
comment	Por lo demás, TODO EXCELENTE.
comment	La ubicación es perfecta! Y el trato cordial.
comment	Limpieza 10 puntos.
comment	Muy ameno.
comment	Buena ubicación, con muchos restaurantes y deliveries cercanos.
comment	muy buen servicio.
comment	Buena estancia y bien silencio durante las horas de reposo,,gracias a una alfombra ,que aunque vieja,mitiga los problemas de sonido .
complaint	El aire acondicionado le faltaba un fuerza, para los dias de calor, pero cumplia.
comment	El profesionalismo y calidez del personal que hacen sentir a uno en su casa.
comment	la cama es muy cómoda y el servicio a la habitación muy bueno.
comment	Ubicación y trato muy amables
comment	La cama estaba en su punto.
comment	Excelente plan de romance en conjunto con un relajamiento en el spa AR.
comment	A 20 minutos de Valencia capital.
comment	Zona segura para caminar de noche.
comment	Ningun problema ni fallo.
complaint	Tuvimos un problema con la nevera, que congeló todos los alimentos, porque el termostato estaba mal y no nos dimos cuenta.
complaint	La habitación , falta de decoración y confort
complaint	La habitacion si bien es muy confortable y moderna, es un poco pequeña.
comment	en realidad no hubo nada que no nos gusto ya que cumplió en un todo con las expectativas
complaint	El personal de limpieza hace mucho ruido y no se percata que al lado hay otra habitación quizás con gente descansando.
complaint	La piscina no funcionaba porque no tenía calefacción
comment	Muy buen desayuno.
comment	Hermoso y muy bien decorado, las habitaciones son cómodas e impecables.
comment	Recomendable.
comment	Excelente
comment	la habitación es muy amplia y excelente limpieza
comment	El baño muy bien, con un inodoro japonés y una ducha potente.
comment	HABITACION COMODA Y GRANDE, UBICACION MUY BUENA, CERCA DE PLAZA ARMENIA.
complaint	la puerta del baño es de vidrio y no aisla los "sonidos".
comment	Cantidad y calidad de la cena Excelente y muy recomendable
comment	La ubicación es muy buena.
comment	Excelente deciracion.
request	El desayuno se puede ampliar para incluir otras opciones para extranjeros: huevos, frutas, etc.
comment	El servicio muy bien.
comment	La ubicación en la zona de la 93 es ideal para trabajo y además con una gran oferta de restaurantes en la zona.
comment	Desayuno es excelente
request	* Es necesario cambiar los escalones de la piscina.
complaint	Las habitaciones son en duplex , subir y bajar para todo.
comment	Nos encantó el personal, su habitabilidad...
complaint	No da para muchas duchas seguidas (aunqeu te avisan previamente).
comment	Cogimos una suite, enorme, con champán y aun baño espectacular.
comment	Esperamos volver.
comment	El personal muy amable y dispuesto a resolver dudas y dar consejos.
comment	Nos trataron fenomenal.
complaint	La segunda noche, a las 4:30am tuve goteras en el baño.
comment	Habitaciones decoradas con buen gusto y vistas a la plaza.
comment	Cumplieron con todo lo prometido y mas.
comment	La cama era muy cómoda, la decoración increible
comment	Atención del personal
request	El buffet de desayuno podría ser algo más variado.
complaint	3- La calidad de las instalsciones, muy mala.
complaint	Puede que se pueda usar sin internaz , pero un PASO ATRAS en la evolución del software nunca ha de ser bienvenida
comment	Buen colchón sin muelles.
comment	Todo bien
comment	Está céntrico.
comment	Excelente ubicación y personal sumamente servicial y amable.
comment	Excelente todo!!
request	AYUDA! -USUARIO PREMIUM- Hasta hace poco me funcionaba a la perfección pero ahora la musica se frena así sin mas, incluso en modo sin conexión.
request	Si bien el desayuno es muy bueno, quizás pequeñas variantes podrían darle mayor sabor, pero es un detalle.
comment	El hotel es muy lindo.
comment	sencillez de manejo
comment	Además, la ubicación es inmejorable.
complaint	Tuve muchos inconvenientes con la tarjeta de la habitación.
comment	Nada, todo fue exelente.
comment	El jardín exterior realmente exquisito .
comment	Cerca de todas las mejores tiendas de BArcelona
comment	Nos alojamos en la habitación 305, que daba a un patio del hotel y era una habitación aislada de las demás, así que el ruido era inexistente.
comment	Súper recomendable.
comment	El hotel es hermoso y el servicio y la atención muy buena.
comment	El recibimiento, el personal es muy amable y atento con verdadera vocación de servicio.
complaint	Me lo bajé pensando que iba a ser la pera, pero deja mucho que desear
comment	el desayuno muy correcto.
complaint	Guardamos el carro con el servicio de valet parking y al día siguiente no nos entregaban el carro.
comment	Todo estuvo excelente.
comment	Arquitectura bellisima , lujo ambientado en 1920, marmoles , iluminacion , alfombras ,cortinados de época , que nos traladaban a principios de siglo.
comment	Muy céntrico.
comment	La situación es de las mejores de Bogotá.
comment	El personal muy atento y servcial, hotel muy recomendable
comment	La cama muy cómoda y el apartamento excelente
complaint	Un poco fuerte la calefaccion en la habitacion.
comment	excelente servicio y cama comodisima.
complaint	Yo viajaba con mi mamá en silla de ruedas y no tuvimos grandes dificultades solo que el piso desde el ascensor hasta la habitación es alfombrado y esto hacia más pesado el rodar de la silla.
comment	La ubicación es excelente, muy confortable el lugar con muy buena predisposición todo el personal!!!! Lo recomiendo y volvería!!!!
comment	A un paso de las mejores tiendas, monumentos, bares y restaurantes.
comment	La cama muy comoda la atención excelente, cada vez que pueda me seguire hospedando alli
comment	La decoración y el ambiente son muy agradables y acogedores.
complaint	Las habitaciones del frente pueden resultar ruidosas
comment	Bien situado.
comment	Tiene un bar y un restaurante de primer nivel.
comment	Además, TODO el personal muy atento, amable y de buen trato.
request	El desayuno es bien bueno, pero sería mejor ofrecer un buffet que tener un carro.Se pierde bastante tiempo con el sistema que tienen, el buffet permite mayor comodidad y agilidad.
comment	Buen hotel.
comment	Agradable diseño. Buen desayuno
comment	El personal muy amable y atento en todo momento.
complaint	las maquinas viejas, hace calor
complaint	El ruido de la calle
comment	El personal ha sido muy amable y dispuesto a brindarte información.
comment	Calmo, silencioso, confortable.
request	Podrían mejorar el servicio de habitación , no hay en la noche
comment	La habitación es fantástica, y los amenities del hotel hicieron nuestra estancia muy agradable.
comment	Creo que quieren dar más servicio del que tienen capacidad y eso se paga.
comment	Me gustó la ubicación, el servicio, miy atentos y super limpio
comment	El espacio para desayuno y restaurant
complaint	El desayuno en la habitación pobrisimo y caro, tostadas muy quemadas, cafe sin edulcorante o azucar y cuando lo reclambas te traian a los 10 minutos.
comment	Buena relacion costo/calidad.
complaint	está bien si puedes usarlo
bug	Cuando entro en la aplicación se me apaga en móvil .!!!! 😡
request	Buen día quisiera que me solucionen el problema que tengo.
comment	Buen wi.fi y aire acondicionado.
comment	gratuito
comment	Sin duda volvería y recomiendo el hotel
comment	La habitación en general.
comment	El desayuno muy completo.
comment	Buen desayuno y servicio a la mesa
complaint	La poca seriedad y puntualidad en la entrega de llaves.
complaint	EL SISTEMA DE CANILLA DE BIDET ES INCOMODO
comment	Antigua casona, hermosamente refaccionada y preparada para recibir huéspedes.
comment	Recomiendo el lugar muy sinceramente!!
comment	Limpieza excelente....
comment	Cerca hay autobuses, tanto para el centro ciudad como para la playa.
comment	Servicio excelente.
request	Ojalá cambiarán el color
comment	La habitación muy confortable con muy buen servicio, el desayuno excelente y completísimo.
comment	Hace años que lo utilizo, lo recomiendo para todo uso, hasta para llevarlo en el pen
comment	Acceso a minusválidos, moderno y cómodo.
comment	Terraza espectacular.
complaint	El hotel no tiene parking Relación calidad precio muy baja
comment	Buena ubicación, buen agua caliente y calefacciónnBuena cama.
request	optimizar, la interfaz con el tiempo aburrira y tendra que cambiar..
comment	5* pero a la vez sencillo.
comment	El hotel es perfecto para relajarte en pareja.
comment	Todo el personal maravilloso.
comment	Buffet desayuno, limpieza de las habitaciones, sauna e hidromasajes
comment	La habitacion estaba alejada del ruido
comment	Tiene una muy buena ubicación, a pasos del parque del Retiro para ir a correr o caminar, como de la Gran Vi, de la Puerta del Sol y de la zona historica de Madrid.
complaint	Limpieza de la habitacion los fines de semana deja bastante que desear
complaint	La piscina decía temperada, pero para mi gusto debió estar mas caliente.
comment	Muy bien la aplicacion
request	Este problema cada vez tengo que estar abriendo la app par aver si llegan mensajes con es posible por favor areeglenlo lo mas pronto
complaint	En el hall faltaba un poco de zona de esparcimiento y la piscina en la azotea es pequeña y cubierta.
comment	Su ubicacion
comment	Moderno.
comment	Interfaz diminuta (pero reitero lo dicho, esta bien asi como está)
comment	Habitación prefecto.
comment	Cama, tamaño grande aptico.
complaint	El desayuno es bueno pero la carta es demasiado complicada.
complaint	La verdad ?? Nada esta muy bueno
comment	El desayuno me pareció excelente, la amabilidad del personal y la ubicación
comment	Excelente ubicacion, cerca de restaurantes y bares.
comment	La habitación cómoda y amplia.
comment	Relación calidad / precio.
comment	Excelente lugar para quedarse en Barcelona.
comment	El desayuno era exclente.
complaint	Alto costo del WIFI
comment	El desayuno no está nada mal y las habitaciones son cómodas.
comment	La habitación amplia, confortable y moderna, la atención del personal super servicial y amables.
comment	Muy céntrico para visitar la ciudad
complaint	No hay demasiados Soundtracks
comment	Todo perfecto
comment	Buena ubicacion, gran cama, buen desayuno, personal muy diligente y atento.
comment	Perfecto la gestion de la reserva y el conductor
comment	precio calidad correctoagradable
request	Al igual que mejorar laopción de repeticiones.
complaint	Además lo hacen con un tono altivo y fuera de lugar.
comment	Maravilloso.
comment	Muy buena atención en la piscina
comment	El room service muy bueno
request	Necesita remodelacion!!!
comment	Todos los servicios ofertados son evidentemente los recibidos, lo cual no siempre se cumple.
comment	Nada por el momento
comment	Aún no hemos encontrado bufett que los mejore si a esto añadimos amabilidad en el trato sencillamente te hacen la estancia insuperable todo estupendo.
comment	Esperemos que pronto podamos todos utilizarlo
comment	Me encanto.
comment	El detalle de tener agua mineral sin costo.
comment	La habitación está muy bien equipada y cool, todo parece nuevo, las camas cómodas y excelente ubicación.
complaint	el papel higienico se nos acabó al segundo dia (nos quedaba uno más) y cuando pedi repuesto me dijeron que el papel higienico y los amenities lo ponian por simpatia, pero que no tenian obligacion de poner nada.
comment	Es un hotel caro, pero vale mucho la pena, dinero bien invertido.
request	Podrían haber más adaptadores para enchufes k debo comprar uno por mi cuenta
comment	La ubicación del hotel es excelente, aunque está a 20-30 min del centro en taxi, el rumbo por el que está es muy bonito y seguro, además tienes el Parque de la 93 a una cuadra, está muy agradable y hay buenas opciones para comer y cenar.
complaint	El Trato del personal muy mal.
comment	Los empleados del hotel, excelentes.
comment	la decoración y el buen gusto del hotel además de la ubicación
complaint	El precio elevado en relación al hotel.
comment	La cama y las almohadas eran muy cómodas.
comment	lo super recomiendo.
request	Por favor arreglen esto porque la verdad me encanta spotify y soy premium.
comment	Volveremos.
request	Respecto a los canales de televisión disponibles, sería bueno que se pudieran ver partidos de futbol relevantes.
comment	Todo bien
comment	Es una antigua casa agradablemente restaurada.
comment	Guay
complaint	la habitación era claustrofóbica, sin ventanas hacia el exterior y en la noche se escuchaba música en vivo muy fuerte por el espacio del aire acondicionado
comment	La habitación muy grande y comfortable.
comment	Un 10
comment	La cama muy cómoda
comment	A 3 cuadras hay bastantes lugares para salir a comer.
comment	Me encanto la atencion.
comment	Sus servicios, la comodidad y diseño, y el personal es muy amable
comment	Todos muy amables y me colaboraron en cada momento.
comment	La verdad muy recomendable, muy buen sector, tranquilo, cerca de muchos restaurantes, supermercados, farmacias, malls,,,, todo bien, gracias por todo.
complaint	El baño muy pequeño.
comment	El personal es agradable, y todo funciona razonablemente bien.
comment	Su personal impecable.
complaint	En los baños no hay bidet
comment	Las instalaciones en general.
request	Para mi gusto personal faltaría un tipo Nutella, mango y tomate.
complaint	Todo bien pero ofrecian servicio desayuno los fines de semana hasta las 11 hs llegamos justo a esa hora y ya habian levantado todo el servicio . Si a las 11 no hay nada deberian decir desayuno hasta las 10.3
comment	el lugar donde queda el hotel, un lugar tranquilo, seguro frente a un antiguo parque de olivos.
comment	La cama súper cómoda, buen higiene y la atención ante cualquier requerimiento muy cálida.
complaint	Encontre las sabanas sucias y no me habían reservado la habitacion correctamente Una verguenza
comment	La ubicación es bastante buena, a pocas cuadras de la peatonal, de puerto madero...
comment	Tiene un rico desayuno buffet con hartas opciones saludables.
complaint	No me gusto la decoracion de la habitacion.
complaint	La habitación con camas individuales, las camas son algo pequeñas.
complaint	Buffet muy escaso, nada que ver con las fotos.
comment	Soporta Flash
comment	Todo perfecto.
comment	Muy buena atención personal atento
comment	Excelente piscina con buena temperatura.
comment	Rico el postre que pedí en la cena crumble de manzana.
comment	Exelente desayuno.
complaint	El café es el único pero que le encuentro, está por debajo de la media.
complaint	La habitación era un tercer piso y se oía ruido del tráfico de la calle por la noche.
comment	Desayuno exquisito.
comment	Todo estuvo perfecto.
comment	El ambiente es perfecto para grupos, estuvimos celebrando un cumple y lo pasamos súper.
complaint	Me encontré mal y no me hicieron un menó astringente durante la cena porque no estaba en la carta.
comment	Tienes un acceso al metro a la vuelta de la esquina y el autobús al aeropuerto a unos metros.
complaint	No estaban incluido los desayunos.
comment	Muy comodo.
comment	La cama era muy confortable
complaint	La comida muy mala
comment	El hotel muy cómodo y el precio recompensa la estadía.
comment	El hotel es todo nuevo y muy moderno.
comment	ubicación y comida
comment	El hotel lindo. Los chicos de la recepción amables.
complaint	El parqueadero queda junto al hotel ....
complaint	Las tostadas duras y frías están hechas desde hace horas De hecho solo desayunamos el primer día y no volvimos más
comment	Excelente atención, comodidad y hotel nuevo
complaint	La limpieza del apartamento dejaba un poco que desear.
comment	La habitación super confortable, cama extraordinaria; pequeño gimnasio, suficiente para empezar el día conservando los buenos hábitos; personal joven muy educado y con ganas de ayudar; ubicación en zona comercial pero a unos metros de ruidos y molestias, muy tranquilo.
comment	El servicio, la limpieza, las instalaciones y el desayuno, son excelentes.
comment	Volveremos
complaint	La piscina no tenía mucha iluminación.
comment	recomendado
comment	El lugar es genial y muy tranquilo.
comment	El desayuno muy bueno también
complaint	No pidan un taxi en recepcion, te cobran un fijo que es el doble de lo normal porque se quedan con una comision, un estafa.
comment	Muy limpio, camas cómodas, con ascensor para maletas
comment	Me encantó
comment	Gin tonics magistrales.
comment	nada todo fue perfecto
comment	La habitacion excelente
comment	Desayuno excelente.
complaint	No hay conexiones eléctricas, y cada vez que quería salir de mi habitación a disfrutar de la cena mientras trabajaba, no había como hacerlo.
comment	Excelente la amplitud de la habitacion.
comment	El desayuno muy bueno, habitaciones insonorizadas y la camas muy cómodas.
comment	Habitaciones muy cómodas, con todo lo necesario.
complaint	baño con sanitarios viejos, bañera manchada y lavamanos roto y mal pegado alfombras manchadas poco lugar para guardado de ropa
comment	La,cama era super comoda la limpieza excelente
comment	Confort y limpieza de la habitación es excelente.
comment	Disponibilidad de parking y piscina también, pero nuestra estancia fue corta y no tuvimos tiempo de hacer uso de ella.
complaint	caro para lo que ofrecía.
comment	El personal encantador.
comment	Cálido, elegante con excelente atención.
comment	Rico desayuno.
comment	Espero regresar pronto.
comment	lo mejor sin duda es el servicio del apart.
comment	Excellente en todo
complaint	Aislacion insuficiente respecto al exterior
complaint	Creo que eso debería cambiar, no es una buena práctica, además de dar mala imagen.
complaint	Ninguna habitación con hidromasaje
comment	El personal muy amable...
meaningless	Mi pareja y yo hicimos una escapada romántica a Barcelona de cuatro días.
comment	Es un hotel recientemente remodelado, muy acogedor y cerca de Ramblas.
comment	El desayuno es harto y todo muy rico, volvería con toda seguridad.
comment	Accesible y adaptado sillas de ruedas.
comment	Ubicación, amplitud, diseño, intimidad
comment	Atención, habitacion
comment	El hotel esta genial para negocios, y para ir al Oceanographic.
comment	Excelente la atención y el servicio.
comment	El desayuno (opcional) es de primera calidad, así como la provisión de bolsa de picnic para viajes.
comment	El personal muy amable y profesional.
complaint	Hace un tiempo te llevaban el desayuno a la habitación pero ahora debes ir a la cafetería para poder tomarlo.-
complaint	El desayuno tenía un cargo adicional.
comment	nada en especial
complaint	El hotel está en una zona muy ruidosa y sucia.
comment	La verdad es q hasta q no salga una version con menos bugs no la recomendaria
comment	Room service 24 horas Tremenda piscina en la azotea
complaint	Una muy buena aplicación, para escuchar la música que te gusta
comment	Parece un intento de emular a OPera y Chromium sin llegar a estos que si son mejores
comment	el desayuno muy bueno.
complaint	El director , muy mala atención y poco detalle al cliente para un ¿ 5 estrellas ?
comment	todo , siempre es mi hotel en la capital
complaint	Como he comentado, las dimensiones de la mesa de trabajo no era la más idónea por su pequeño tamaño.
complaint	El desayuno buffette es malo con poca variedad y a las 10 am lo levantan
comment	Muy recomendable.
comment	Luminoso.
comment	Habitación cómoda y ubicación privilegiada
comment	Habitaciones confortables, amplias, limpias, muy buena atención del personal.
complaint	Las almohadas.
complaint	Dos veces intentamos hacer una reserva para un restaurat y fue imposible.
complaint	El único problema del hotel era que no tiene un spa.
complaint	La piscina no se encontraba climatizada por lo tanto no se podía utilizar
bug	Además hay ciertos fichero que no me permite comprimir, no sé por qué
complaint	El apartamento era muy reducido para tres adultos y un niño, y, al ser interior, era poco luminoso.
complaint	Cuando me retiré el botones del hotel ni siquiera salio de detras del mostrador para acompañarme con la maleta al taxi siendo que era de noche.
complaint	El menú del restaurante no tiene la variedad que debe ofrecer un hotel de Lima
complaint	No habia agua Caliente en la habitación pero lo bueno es que a los pocos minutos de avisar solucionaron el problema de fontaneria (una valvula fallada).
complaint	Del room Service Entraron a la habitación a las 9 pm sin avisar
complaint	Un poco de olor a cigarrillo en la habitación.
complaint	No cambiaron las sabanas en tres días.
complaint	La piscina del SPA parece parque público, todas las normas que es explican en carteles, se incumplen.
complaint	El hotel no esta en la mejor zona de valencia y la comunicación de transporte publico ahi aparte del tram no es espectacular.
complaint	El servicio no es el mejor.
complaint	el desayuno si no me gusto ..
complaint	Ascensor abarrotado en ocasiones.
complaint	La atencion en front desk deja mucho que desear.
complaint	sin solucion
complaint	Realmente desagradable y de mala educación.
complaint	la insonorizacion de los baños de al lado...
complaint	el aire acondicionado no enfriaba bien
complaint	Habitaciones muy pequeñas para el precio
complaint	Uno llegaba, esperaba y ellos seguian haciendo otra cosa o hablando por telefono hasta que te preguntaban todos con mala cara en qué podían ayudar.
complaint	Muy lejos del centro histórico
complaint	Desayuno muy caro Habitación pequeña No tener aparcamiento Sala de estar casi inexistente
complaint	La informalidad del personal a la hora de entregar llaves.
complaint	Los elementos de aseo del baño de muy mala calidad.
complaint	Por ejemplo en el desayuno tuve que pedir 3 veces cubiertos para poder comer, jamás me ofrecieron café, fue fatal.
complaint	el parking demasiado caro
complaint	Tampoco es bueno el servicio de limpieza, nos dejaron las copas sucias con la bebida, no nos repusieron el frigobar..
complaint	Le falla el desayuno, una pena.
complaint	Habitación con aislacion mala (una puerta separaba la separaba de la contigua).
complaint	No contaban con servicios por mantenimiento como la piscina y no cuentan con gym aún
complaint	Desayuno algo justo en variedad.
complaint	El aire acondicionado sonaba muy fuerte.
complaint	El baño es oscuro
complaint	El ascensor demora mucho por lo mismo.
complaint	No habia ventilador.
complaint	Al estar en la planta 29 te imaginas algo mas, pero es donde esta el hotel, ante eso no se puede hacer nada.
complaint	el room service desmejoró tanto que ni valía la pena.
complaint	Agua del baño le faltaba temperatura.
complaint	Lo peor.
complaint	El ruido del extractor de aire del baño, olor a humedad de la habitación
complaint	Si no tienes mucha idea de cómo puede afectar tanta alaharaca gráfica al rendimiento
complaint	La habitación es muy pequeña hasta para una pareja, el personal es poco amable, una sonrisa no les vendría mal y un poco de cortesía voluntaria..
complaint	Nos tuvieron casi 40 min diciendo que ya venía el carro y tuvimos que tomar un taxi porque se demoró demasiado y teníamos mi grado.
meaningless	En este caso no fue así.
complaint	No tiene canales internacionales necesarios mí tampoco posibilidad de alquilar películas.
complaint	No es muy cómodo para viajar con niños, las habitaciones son más para parejas.
complaint	El snack, manifiestamente mejorable.
complaint	El.bar cerraba temprano
complaint	La presión de la ducha es muy pobre y entra mucho viento por el ventilador del techo.
complaint	No había nada que no nos gustase.
complaint	El baño es mejorable.
complaint	El precio es demasiado elevado, más del doble que la media de hoteles en Lima
complaint	El sauna abre un poco tarde y la atención en el recepción es algo lenta.
complaint	En casos de excepción el apego a protocolos del check in aparecen como un despropósito.
complaint	Le faltan cosas (Pero mejor que se quede asi, ya que se volvera pesado si pasa eso)
complaint	las almohadas, todas enormes difíciles de manipular y todas duras y altas.
complaint	Mucho camino, escaleras y ascensores para llegar a la habitación
complaint	La piscina podría ser un poco más caliente.
complaint	Desayuno malisimo, una calidad muy baja para el tipo de hotel.
complaint	Algo complicados con el servicio de cena
complaint	el desayuno bastante pésimo para costar el equivalente a 20 €.
complaint	El ruido
complaint	La iluminación del cuarto Tomas de corriente escondidas Moqueta vieja
complaint	El baño tenía mal olor
complaint	El lugar donde se toma el desayuno, muy pequeño para el tamaño del hotel, tuvimos que esperar 25 minutos para poder sentarnos a desayunar.
meaningless	El dinero se lo reparten entre mytaxi y el conductor.
complaint	Creo que, independientemente de que se pueda o no solucionar el requerimiento que uno haga, lo menos que uno espera es una respuesta del hotel.
complaint	Las habitaciones y baños anticuadas.
complaint	Tuve que subir y bajar mis bolsos sola y eran muy pesados.. el chico nunca llego. Nunca habia estado en una habitación sin ventanas! Eso me decepciono bastante.
complaint	La conexión Wífi muy deficiente y ademas muy mala cobertura móvil, con lo cual dentro del apartamento casi no teníamos red
complaint	Algún personal debería tener más flexibilidad y comprensión de situaciones particulares .
complaint	No es aceptable! En salon , con todo respeto a la beleza de la cupula de cristal, se sirve bebida con los precios desorbitados(espresso 7,95€).
complaint	La televisión y piscina muy pequeña.
complaint	En primer lugar se sufrió todas las mañanas (9 AM) con que te golpearan la puerta desde y quisieran entrar a la habitación desde el ss.
complaint	El jacuzzi exterior es muy lindo, pero si buscan 100% privacidad no la hay.
complaint	Los muebles de la habitación rotos, la TV mala, sin servicio de acomodamiento nocturno de habitación, que todos los hoteles de la cadena proveen, pero WESTIN Madrid No...
complaint	La ubicación es muy buena pero un poco escondida
complaint	Primero nos dieron un cuarto que no tenia ventana.
complaint	Artículos de tocador muy escasos.
meaningless	Mi boda fue inolvidable.
complaint	El ascensor demoraba muchísimo por la cantidad de gente que transita.
complaint	A la hora de realizar el Check In era muy lento y demasiada espera para tal procedimiento.
complaint	el baño muy pequeño el compartimento del inodoro tiene puerta de abrir al revés , por seguridad debe tener la facilidad de empujar para abrir , el caso nuestro mi esposa entro en pánico al no poder salir, la puerta al quedar rozando contra la pared se atranco y la puerta no tiene manigueta para halarla ,
complaint	Hace frío en el hotel cuando el tiempo no es buen
complaint	Las alternativas del desayuno las encontré monótonas.
complaint	Las camas muy incomodas y a pesar q no dejan fumar creo q hay huespedes q lo hacen pq huele muy fuerte a cigarros.
complaint	Mucho ruido el aire acondicionado de la habitación cuando se activa en forma automática.
complaint	Precios altos.
complaint	Llamé a informar a la recepción para que al día siguiente lo completaran, nunca lo hicieron.
complaint	Un poco desordenado el ingreso a las habitaciones porque eramos un grupo y costó ubicarnos a todos.
complaint	Muchisimo olor a pintura y quimicos.
complaint	Muy ruidoso.
complaint	No niego que lo hubiera hecho más amigable -me refiero al GUI-, pero algunos programadores somos un poco reacios -me incluyo- a mostrar &quot;ventanitas&quot;
complaint	El apartamento estaba en una primera planta y el ruido por la noche era molesto
complaint	Mucha bulla en la calle
complaint	No funcionaba el acondicionado en la habitación y hacía mucho calor.
complaint	No tiene moqueta!!!
complaint	Por favor amigos no lo modifiquen !!!
complaint	La habitacion muy basica en comparacion precio calidad.
complaint	Al llegar por error de agencia tenian un cuarto de doble cama vs king.
complaint	Calefacion rota y 1hora perdida de pasar a otra habitacion, En otra tampoco funcinaba como deberia, con termostato malo,pero por lo menos no salia aire frío.
complaint	Situación del hotel Desayuno ok pero caro
complaint	10 de pena
complaint	El el desayuno tenen retos importantes de mejora.
complaint	Feo café.
complaint	0 , no se puede programar su apagado
complaint	La terraza. Aunque los precios son carísimos
complaint	Mucho ruido.
complaint	La persona que atendio en el registro,no fue ni creo que sea amable.
complaint	Pedí una y la que me llevaron no funcionaba.
complaint	No se si me gusta tanto.
complaint	Odio la idea de que me obliguen a descargar esta absurda aplicación y es que realmente no sirve, en primera pesa mucho, también tiene varias fallas y es que a veces se cierra de la nada la burbuja y hay otro problema en el que los contactos que elimino de facebook me siguen apareciendo en chat y no me gusta esa idea y a pesar de poner eliminar contacto desde messenger aún sigue apareciendo.
complaint	Y todo por esa pendejada de "tu dia" como odio la actualización.
complaint	Mala conexión a Internet Álbumes no permitidos en mi territorio Deficiente motor de búsqueda Entre otros.
complaint	Pero no se qué sucede, de repente quiero escuchar nuevamente música y mis play list no están descargadas.
complaint	Tengo un problema.
complaint	Soy premium pero parece que no lo fuera.
complaint	No volveré a usar esta compañía.
complaint	Lo instale a mi cell , pero me sale error y todavia no lo he podido utilizar.
complaint	No salen las caritas😡😡
complaint	Un programa bien hecho pero no tan agradable para mi uso.
complaint	Es orrible no tengo espasio me dice pero no tengo ninguna app solo las que vinieron con el celu
complaint	Al iniciar la app es MUY LENTA.
complaint	Muy útil e intuitiva..esta muy bien lo de poder calificar al conductor y el estado del taxi...sin embargo no me ha funcionado lo de pedir un taxi para 6 pasajeros con antelación ..no me han contestado las dos veces que lo he pedido ....
complaint	Es increíble como puedo odiar una app en una sola actualización.
complaint	Somos muchos los que hablamos de este disgusto.
complaint	Encuentro que la bajada de calidad del servicio prestado desde el cambio a mytaxi es lamentable
complaint	Cada versión lo hacen peor con los mensajes de voz en sitios como el metro.
complaint	El taxista nos ha timado y ha hecho más del doble del trayecto.
complaint	Qué me gusta esta super Bn
complaint	No me deja registrarme, en la fecha de cumpleaños, aparece: mar.
complaint	Pensé que funcionaba así porque no la tenía actualizada pero la actualicé y las canciones se siguen contando en la mitad de éstas.
complaint	Sin mencionar que falta bastante música - álbumes de bandas y artistas importantes.
complaint	Pero me baje y no paso nada solo el malestar.
complaint	Imágen pixelada y con zoom.
complaint	Una M*****.
complaint	Tarda mucho para ver los mensajes
complaint	Que uno hacia click en el icono y mandaba el mensaje de una desde el celular.
complaint	La localización la ley erróneamente en el 80% de los casos.
complaint	La tuve unos meses sin problemas tenía a mis hermanos y a mi esposo pero no vivimos todos en la misma dirección y sin aviso me cancelaron las suscripciones de toda mi familia y pagué el mes a lo tonto por que no disfrute el servicio...
